Filename,Run Count,Last Run Date
"\\Pc-20220516lkig\F\cxt-1\CAD-图纸\深圳友隆---------YL\YL-透明石英发热管-220V-1800W-φ12mm(6根1套ABC管)-18-6-27\YL-透明石英发热管-A管-73.3v-300w-φ12×140mm-第一版.dwg",1,134236611795883179
"\\Desktop-osh296i\e\张守剑-CAD-图纸\中山商贤电器科技有限公司（中山融汉贸易）\生产\CXT-020100042 SF122-26AI.D.6-透明石英发热管-120v-470w-φ12x221mm第二版-16-5-11\CXT-020100042 SF122-26AI.D.6-透明石英发热管（编码：VN3.20014A0）120v470w φ12x221 第二版.dwg",1,134236566279452941
"\\User-20230521vs\G\阳帅工作文档\CAD\智捷（腾祥）",1,134236346033342516
"C:\Users\Administrator\Desktop\CJ03-X10-701A0 CJ03-X10-702A0 铁氟龙布(左右).DWG",1,134235431124072697
"\\User-20230521vs\G\阳帅工作文档\CAD\海目星\FA1410-M21A-018-1200-00B 2026 中国邯郸 C3装配线预热炉用加热板",1,134230486940953823
"C:\Users\Administrator\AppData\Roaming\Microsoft\Windows\Recent\螺丝库.lnk",1,134227900697797124
"\\Desktop-osh296i\e\刁德升\1.图纸\雄韬\雄韬准备资料（王建忠经办）\规格书\硅胶引线ROSH\3132规格书.pdf",2,134225084922261863
"\\User-20230521vs\G\阳帅工作文档\CAD\深圳市大族贝金装备有限公司\NHF260029(380套)\生产\NHF260029 线路设计2026-03-19.xlsx",1,134223301006060342
"C:\Users\Administrator\xwechat_files\wxid_dqrhe3soaxsh22_5e85\msg\file\2026-04\CXT-2251-001 菲林图.dwg",1,134218153830047920
"C:\Users\Administrator\AppData\Roaming\Microsoft\Windows\Recent\CJ03-X10-740Z0 大发热板 220V6300W 1054x1010x8.5mm.SLDASM.lnk",1,134217660114725154
"G:\CXT-3728 菲林开料图 SUS304 0.1T+绿膜 1080x1025mm.dxf",1,134217249979291338
"C:\Users\Administrator\AppData\Roaming\Microsoft\Windows\Recent\3512-10#规格书(1).pdf.lnk",1,134215617801972447
"E:\SolidWorks Backup\备份 (6) 属于 FA1410-M21A-018-1250-01B(WJ-000800569) 发热板上板5 A6061 862x750x6mm.SLDPRT",1,134215563014156776
"E:\SolidWorks Backup\备份 (10) 属于 FA1410-M21A-018-1250-01B(WJ-000800569) 发热板上板5 A6061 862x750x6mm.SLDPRT",1,134215562909438870
"\\User-20230521vs\G\阳帅工作文档\CAD\海目星\FA1410-M21A-018-1200-00B 2026 中国邯郸 C3装配线预热炉用加热板\FA1410-M21A-018-1200-00B(CXT-050700318) 发热板 220V44.78kW 2942x2564mm\生产\FA1410-M21A-018-1240-03A 发热板下板4 5052-O 1674x750x2mm.dwg",1,134214084761690374
"\\User-20230521vs\G\阳帅工作文档\CAD\海目星\FA1410-M21A-018-1200-00B 2026 中国邯郸 C3装配线预热炉用加热板\FA1410-M21A-018-1200-00B(CXT-050700318) 发热板 220V44.78kW 2942x2564mm\生产\FA1410-M21A-018-1240-01A 发热板上板4 A6061 1674x750x6mm.dwg",1,134214084079353461
"\\Pc-20220516lkig\F\万文强工程文件\天津中电\CXT-010200549 900214030000004-LTIP613.N26030502-加热膜-1P10S 28V224W 1716.4×92\CXT-3700 & CXT-3701 2款割成品图.dxf",1,134212472906269340
"C:\Users\Administrator\xwechat_files\wxid_dqrhe3soaxsh22_5e85\msg\file\2025-12\1332-4.0(1).pdf",2,134209889073742701
"E:\阮焕\项目\K000444 (深圳市大星守正智能装备有限公司)\CJ03-X10-740Z0(CXT-050700312) 大发热板 220V6300W 1054x1010x8mm\生产\CJ03-X10-741A0(WJ-000800539) 发热板下铝板 6061 1054x1010x6mm.dwg",1,134208033801771872
"E:\阮焕\项目\冠航\9款加热膜\9合1.dwg",1,134207999616025393
"E:\阮焕\项目\K000444 (深圳市大星守正智能装备有限公司)\CJ03-X10-740Z0(CXT-050700312) 大发热板 220V6300W 1054x1010x8mm\生产\CXT-3728线路设计.xlsx",1,134206867700535649
"\\Desktop-osh296i\e\（王建忠）9月份copy\供应商（杂类）\迈尔盛\1332规格书（所有规格）.pdf",11,134206303619775068
"\\Desktop-osh296i\e\（王建忠）9月份copy\CAD-tuzhi\深圳市大族贝金装备有限公司\NHF250046项目（底板：472+4套 & 侧板：472套）\生产\NHF250046-180201-000A 底部加热板组件（CXT-050700257）220V11000W 1500-1150\~$CXT-3378-左 & CXT-3379-中 & CXT-3380-右 功率密度关系表.xlsx",1,134200216002381317
"C:\Users\Administrator\xwechat_files\wxid_dqrhe3soaxsh22_5e85\msg\file\2026-04\51.2V-220W 390x230mm.pdf",1,134197416274202959
"\\Desktop-osh296i\e\（王建忠）9月份copy\CAD-tuzhi\江西安驰新能源科技有限公司\生产\安驰ROSH资料\2019ROSH\发热片物料ROSH报告2020.10.07\3135规格书.pdf",15,134196703836730830
"\\Desktop-osh296i\e\（王建忠）9月份copy\供应商（杂类）\迈尔盛\3135规格书非标4mm².pdf",5,134195633826798295
"\\Desktop-osh296i\e\（王建忠）9月份copy\CAD-tuzhi\江西安驰新能源科技有限公司\生产\安驰ROSH资料\安驰ROHS报告及样品检测报告\发热片物料ROSH报告2020.10.06\3135规格书.pdf",2,134195042576278180
"\\Desktop-osh296i\e\（王建忠）9月份copy\CAD-tuzhi\易连 无线蓝牙探针温度计项目方案\新方案（无分割线）\3D\CAD\生产\高温测试实验20230818\高温测试实验20230818.docx",1,134194162327280866
"\\Desktop-osh296i\e\（王建忠）9月份copy\CAD-tuzhi\深圳市大族贝金装备有限公司\NHF250046项目（底板：472+4套 & 侧板：472套）",1,134193226701316876
"G:\CXT-3651 菲林开料图 SUS304 0.05T+绿膜 662x340mm.dxf",1,134190756361793486
"\\Desktop-osh296i\e\（王建忠）9月份copy\客供图纸\深圳市大族贝金装备有限公司\2024.12.6（NHF240057项目 和 最新图纸---NHF240046项目）\NHF240057项目\NHF240057-180301-015A\NHF240057-180301-015A 侧发热铝板3.jpg",1,134189796367774131
"\\Desktop-osh296i\e\（王建忠）9月份copy\客供图纸\深圳市大族贝金装备有限公司\2024.12.6（NHF240057项目 和 最新图纸---NHF240046项目）\NHF240057项目\NHF240057-180301-005A\NHF240057-180301-005A 侧发热铝板2.jpg",1,134189796301040106
"\\Desktop-osh296i\e\（王建忠）9月份copy\CAD-tuzhi\深圳市大族贝金装备有限公司\NHF240057项目\生产资料\3D\NHF240057-180201-000A\NHF240057-180201-000A 侧发热板组件.sldasm",1,134189789448140203
"E:\刁德升\1.图纸\亿伟达\铁壳发热器\改长度180\模型\云母十字.SLDPRT",1,134189570518274492
"\\Pc-20220516lkig\F\cxt-1\CAD-图纸\（王建忠）9月份copy\样品承认书\新雷欧电子有限公司\100V云母发热片",1,134189020907146926
"C:\Users\Administrator\AppData\Roaming\Microsoft\Windows\Recent\东莞哈工自控科技有限公司 (3).lnk",1,134188965078838897
"\\User-20230521vs\G\阳帅工作文档\CAD\时代高科\TFS251005T\生产\CXT-3503-A 菲林图.dwg",1,134187932037418100
"C:\Users\Administrator\Documents\WeChat Files\wxid_h03zao1jgggc22\FileStorage\File\2024-09\CXT-2503 菲林图.dwg",1,134187931734616544
"\\Desktop-osh296i\e\（王建忠）9月份copy\CAD-tuzhi\深圳市大族贝金装备有限公司\NHF250046项目（底板：472+4套 & 侧板：472套）\NHF250046项目 沟通问题点2025-11-07(客户回复的内容).docx",1,134187415667619854
"C:\Users\Administrator\AppData\Roaming\ZWSOFT\ZWCAD\2024\zh-CN\Recent\选择文件\【NHF250037-240101-002A 版次E】NHF250037-240101-002A 发热膜.dwg.lnk",1,134187061379920322
"E:\刁德升\1.图纸\宇能通\生产\硅胶加热膜（型号：COMVOLT-Z4000）14v 180w 293-176mm\JY-001700144 隔热棉2 204-173-2.5mm.pdf",1,134183846011779383
